"","m_od","s_od","m_or","s_or","m_op","s_op","cfr","p"
"mode",18.075,0.429,29.564,0.374,19.347,0.71,0.045,0.61
"Q0.025",16.88,0.315,26.126,0.329,14.875,0.631,0.018,0.422
"Q0.975",19.279,0.561,39.201,0.442,37.456,0.797,0.111,0.955
"ESS",32243,30731,7201,8345,16852,17083,79962,11017
