"","m_or","s_or","m_op","s_op"
"mode",24.748,0.345,9.437,0.648
"Q0.025",22.852,0.308,8.181,0.581
"Q0.975",28.107,0.391,11.973,0.733
"ESS",24754,23099,31443,32569
