"","m_od","s_od","m_or","s_or","m_op","s_op","cfr","p"
"mode",17.859,0.444,30.175,0.412,16.463,0.59,0.036,0.892
"Q0.025",16.796,0.315,26.011,0.355,14.113,0.546,0.019,0.619
"Q0.975",19.23,0.561,35.686,0.47,20.955,0.643,0.072,0.992
"ESS",14194,12831,3873,5018,8114,8216,39377,4642
