"","m_od","s_od","m_or","s_or","m_op","s_op","cfr","p"
"mode",18.189,0.468,26.686,0.414,12.372,0.635,0.027,0.673
"Q0.025",17.03,0.364,23.814,0.359,11.18,0.596,0.014,0.558
"Q0.975",19.43,0.592,33.592,0.489,14.581,0.679,0.047,0.912
"ESS",29493,26722,5549,7499,19410,22195,77332,6081
