"","m_od","s_od","m_or","s_or","m_op","s_op","cfr","p"
"mode",17.968,0.453,26.988,0.412,11.012,0.62,0.014,0.805
"Q0.025",16.911,0.344,24.108,0.355,9.846,0.577,0.004,0.667
"Q0.975",19.349,0.581,32.098,0.471,13.049,0.677,0.035,0.986
"ESS",30362,29834,8351,11544,24301,26907,77729,8786
