"","m_od","s_od","m_or","s_or","m_op","s_op","cfr","p"
"mode",18.084,0.442,26.325,0.362,6.591,0.655,0.011,0.688
"Q0.025",16.933,0.339,23.876,0.322,5.772,0.596,0.004,0.562
"Q0.975",19.33,0.576,31.737,0.418,7.763,0.744,0.041,0.904
"ESS",32291,32276,9799,11965,28708,36769,76401,11465
