age_groups,location,population,proportion
0-9,Outside,130353424.3,0.114933285
10-19,Outside,118817135.8,0.10476168
20-29,Outside,172203541.3,0.151832749
30-39,Outside,169852511.3,0.149759833
40-49,Outside,191319772.4,0.168687628
50-59,Outside,155067958.9,0.136724218
60-69,Outside,118438831.9,0.104428128
70-79,Outside,54609456.07,0.048149439
80+,Outside,23503367.99,0.020723041
0-9,Wuhan,1273575.733,0.114933285
10-19,Wuhan,1160864.179,0.10476168
20-29,Wuhan,1682458.689,0.151832749
30-39,Wuhan,1659488.715,0.149759833
40-49,Wuhan,1869227.607,0.168687628
50-59,Wuhan,1515041.055,0.136724218
60-69,Wuhan,1157168.083,0.104428128
70-79,Wuhan,533543.9281,0.048149439
80+,Wuhan,229632.0121,0.020723041
