flight_id,notes,country_destination,repatriated_from,date_repatriated,number_repatriated,testing,point_tested,tested_by,notes_on_testing,number_tested,number_positive_initial_test,number_confirmed_total,number_symptomatic_at_testing,number_asymptomatic_positive,number_later_developed_symptoms,follow_up_notes,qurantine_ended,date_ended,refs 1,refs 2,refs 3,refs 4,refs 5,refs 6,refs 7,refs 8,refs 9,refs 10,refs 11
japan_fl2,2 people tested +ve after this date (11/02 ans 21/02),japan,wuhan,30/01/2020,210,y,arrival,30/01/2020,3 of the 5 cases were detected later - at first they tested negative - I could only find the one on the 10th Feb not the 21st (or the 5th case),210,2,5,3,2,1,yes 07/02/2020 - but ,y,07/02/2020,https://www.mhlw.go.jp/stf/newpage_09240.html,https://www.mhlw.go.jp/stf/newpage_09422.html,https://www.mhlw.go.jp/stf/newpage_09273.html,https://www3.nhk.or.jp/news/html/20200205/k10012273511000.html?utm_int=word_contents_list-items_344&word_result=%E6%96%B0%E5%9E%8B%E8%82%BA%E7%82%8E,https://www.mhlw.go.jp/stf/newpage_09502.html,,,,,,
singapore_fl1,testing everyone,singapore,wuhan,30/01/2020,92,y,unknown,,"1 case tested positive on arrival (31st), 2 tested positive on the 3rd Feb, and 1 other tested positive on the 7th Feb",92,1,5,1,3,,87/92 released 13/02/2020,y,13/02/2020,https://www.nytimes.com/reuters/2020/02/17/world/europe/17reuters-china-health-evacuation-factbox.html,https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore-31-jan,https://www.moh.gov.sg/news-highlights/details/confirmed-cases-of-local-transmission-of-novel-coronavirus-infection-in-singapore,https://www.moh.gov.sg/news-highlights/details/one-more-case-discharged-two-new-cases-of-novel-coronavirus-infection-confirmed-10feb,https://www.straitstimes.com/singapore/1-year-old-boy-evacuated-from-wuhan-on-feb-9-among-2-new-coronavirus-cases-in-spore-the,https://www.straitstimes.com/singapore/all-92-evacuated-from-wuhan-on-scoot-flight-being-tested,https://www.straitstimes.com/singapore/coronavirus-87-singaporeans-evacuated-from-wuhan-complete-14-day-quarantine,https://www.thestar.com.my/news/regional/2020/02/18/toddler-evacuated-from-wuhan-among-two-new-covid-19-cases-in-singapore,,,
japan_fl3,,japan,wuhan,31/01/2020,149,y,arrival,01/02/2020, 1 of the 4 cases tested positive later (on the 14th of Feb) I can't find reference to the 4th case,149,2,4,1,1,2,yes,y,,https://www.mhlw.go.jp/stf/newpage_09278.html,https://www3.nhk.or.jp/news/html/20200205/k10012273511000.html?utm_int=word_contents_list-items_344&word_result=%E6%96%B0%E5%9E%8B%E8%82%BA%E7%82%8E,https://www.mhlw.go.jp/stf/newpage_09537.html,duplicate of ref 3,,,,,,,
uk_fl1,83 uk 27 eu - testing 10 days in,uk,wuhan,31/01/2020,83,n,NA,NA,,,,0,,,,Yes repatriats all released 15/02/2020,y,15/02/2020,https://www.nytimes.com/reuters/2020/02/17/world/europe/17reuters-china-health-evacuation-factbox.html,https://www.gov.uk/government/news/british-nationals-depart-wuhan-on-flight-to-the-uk,https://www.england.nhs.uk/2020/02/coronavirus-update/,,,,,,,,
uk_fl1,these were on the uk_fl1 ,spain,wuhan,31/01/2020,21,y,unknown,12/02/2020,,21,0,0,0,0,0,all released 13/02/2020,y,13/02/2020,https://www.channelnewsasia.com/news/world/covid-19-spaniards-repatriated-from-china-discharged-12428040,https://www.mscbs.gob.es/en/gabinete/notasPrensa.do?id=4781,https://english.elpais.com/international/2020-01-31/spaniards-trapped-in-wuhan-board-flight-to-madrid.html,https://www.mscbs.gob.es/en/gabinete/notasPrensa.do?id=4791,https://twitter.com/SaludPublicaEs/status/1227912396825677824,https://twitter.com/sanidadgob/status/1227950131892432902,,,,,
uk_fl1,from the uk_fl1 - home quarantine and tesing ,denmark ,wuhan,31/01/2020,4,y,arrival,31/02/2020,,4,0,0,,,,home quarantine 14 days up,home quaratine,14/02/2020,https://www.mscbs.gob.es/en/gabinete/notasPrensa.do?id=4791,https://www.mscbs.gob.es/en/gabinete/notasPrensa.do?id=4781,https://www.sum.dk/Aktuelt/Nyheder/Sundhedspolitik/2020/Februar/Alle-hjemvendte-borgere-fra-Hubei-til-Danmark-er-testet-negativ-for-ny-coronavirus.aspx,https://www.sum.dk/Aktuelt/Nyheder/Sundhedspolitik/2020/Januar/Hjemvendte-borgere-fra-Kina.aspx,,,,,,,
uk_fl1,from the uk_fl1,norway ,wuhan,31/01/2020,1,n,NA,NA,,,,0,,,,home quarantine 14 days up,home quarantine,14/02/2020,https://www.mscbs.gob.es/en/gabinete/notasPrensa.do?id=4781,https://www.mscbs.gob.es/en/gabinete/notasPrensa.do?id=4791,https://norwaytoday.info/news/norwegians-to-be-evacuated-from-wuhan-but-avoid-quarantine/,https://www.fhi.no/nyheter/2020/nordmenn-som-evakueres-fra-kina-i-regi-av-utenriksdepartementet/,,,,,,,
southkorea_fl1,testing ,south korea,wuhan,31/01/2020,368,y,unknown,14/01/2020,,368,2,2,18,,,released 15/02/2020,y,15/02/2020,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366193&tag=&nPage=1,https://www.bloomberg.com/news/articles/2020-01-31/virus-rescue-flight-returns-to-korea-with-18-showing-high-fever,,,,,,,,,
france_fl1,testing - once on arrival and then a second time,france,wuhan,31/01/2020,180,y,arrival,31/01/2020,,180,0,0,2,,,al released 14/02/2020,y,14/02/2020,https://www.gouvernement.fr/en/coronavirus-2019-ncov-repatriation-operations-involving-direct-flights-organized-by-france,http://www.leparisien.fr/societe/coronavirus-3e-vague-de-rapatriement-de-wuhan-38-francais-attendus-dimanche-07-02-2020-8255556.php,https://www.gouvernement.fr/info-coronavirus,http://www.leparisien.fr/societe/coronavirus-3e-vague-de-rapatriement-de-wuhan-38-francais-attendus-dimanche-07-02-2020-8255556.php,,,,,,,
germany_fl1,2 patients treated and declared symptom free also left when the quarantine was over ,germany,wuhan,01/02/2020,115,y,arrival,02/02/2020,"2 positive cases reported 2/2/20, all cases tested again before leavnig on 14th Feb",115,2,2,,,,yes all released 17/02/2020,y,16/02/2020,https://www.dw.com/en/coronavirus-german-evacuation-flight-lands-in-frankfurt/a-52223609,https://www.dw.com/en/coronavirus-german-evacuation-flight-lands-in-frankfurt/a-52223609,https://twitter.com/Team_Luftwaffe/status/1229054708393926658,https://www.bundeswehr.de/de/organisation/luftwaffe/aktuelles/die-luftwaffe-fliegt-deutsche-aus-wuhan-aus,https://www.thelocal.de/20200217/over-100-released-from-coronavirus-quarantine-near-frankfurt-airport,https://www.bundesgesundheitsministerium.de/coronavirus.html,https://www.bundesgesundheitsministerium.de/coronavirus/rueckkehrer.html,https://www.dw.com/en/coronavirus-german-evacuation-flight-from-china-carried-two-infected-people/a-52229955,,,
southkorea_fl2,testing,south korea,wuhan,01/02/2020,333,y,later,15/02/2020,results were not reported on the 14th so likely conducted on the 14th/15th,333,0,0,,,,released 16/02/2020,y,16/02/2020,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366193&tag=&nPage=1,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366201&tag=&nPage=1,,,,,,,,,
jordan_fl1,testing,jordan ,wuhan ,01/02/2020,71,y,later,06/02/2020,5 days after quarantine,25,,0,,,,25 people released 10/02/2020,y,10/02/2020,https://www.jordantimes.com/news/local/ministry-health-confirms-no-coronavirus-cases-jordanian-arab-students-arrive-wuhan,https://www.aljazeera.com/news/2020/02/coronavirus-scores-arab-students-evacuated-china-wuhan-200202113227971.html,https://www.moh.gov.jo/DetailsPage/MOH_AR/NewsDetailsAR.aspx?ID=549,https://www.moh.gov.jo/DetailsPage/MOH_AR/NewsDetailsAR.aspx?ID=552,https://twitter.com/mohgovjo/status/1226787597395136514,https://twitter.com/mohgovjo/status/1226788075017207809,,,,,
india_fl1,everyone tested negative,india,wuhan,01/02/2020,324,y,unknown,06/02/2020,,324,0,0,,,,all released 18/02/2020,y,18/02/2020,https://twitter.com/EOIBeijing/status/1223335511458082822,https://twitter.com/ITBP_official/status/1230002203043094528,https://twitter.com/ians_india/status/1230019842486435845,https://twitter.com/drharshvardhan/status/1229380976129658880,https://www.hindustantimes.com/india-news/final-batch-of-wuhan-evacuees-discharged-from-itbp-quarantine-facility/story-k9Gamk981PlNK3KRNLTRYL.html,https://www.indiatoday.in/india/story/coronavirus-final-batch-wuhan-evacuees-itbp-quarantine-facility-discharged-1648044-2020-02-19,https://www.hindustantimes.com/india-news/final-batch-of-wuhan-evacuees-discharged-from-itbp-facility/story-6C1TKgbokK5YCY4XNYCWIJ.html,https://twitter.com/ITBP_official,https://pib.gov.in/newsite/pmreleases.aspx?mincode=31,,
